Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,pdc
BFO,bse_fo,ABB,1139616,SO,CE,6800,ABB INDIA LIMITED,ABB24DEC6800CE,ABB 12DEC24 6800 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1139099,SO,CE,6900,ABB INDIA LIMITED,ABB24DEC6900CE,ABB 12DEC24 6900 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1134782,SO,CE,7000,ABB INDIA LIMITED,ABB24DEC7000CE,ABB 12DEC24 7000 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1133164,SO,CE,7100,ABB INDIA LIMITED,ABB24DEC7100CE,ABB 12DEC24 7100 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1131619,SO,CE,7200,ABB INDIA LIMITED,ABB24DEC7200CE,ABB 12DEC24 7200 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1133565,SO,CE,7300,ABB INDIA LIMITED,ABB24DEC7300CE,ABB 12DEC24 7300 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1132006,SO,CE,7400,ABB INDIA LIMITED,ABB24DEC7400CE,ABB 12DEC24 7400 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1133973,SO,CE,7500,ABB INDIA LIMITED,ABB24DEC7500CE,ABB 12DEC24 7500 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1132388,SO,CE,7600,ABB INDIA LIMITED,ABB24DEC7600CE,ABB 12DEC24 7600 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1130905,SO,CE,7700,ABB INDIA LIMITED,ABB24DEC7700CE,ABB 12DEC24 7700 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1132805,SO,CE,7800,ABB INDIA LIMITED,ABB24DEC7800CE,ABB 12DEC24 7800 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1131287,SO,CE,7900,ABB INDIA LIMITED,ABB24DEC7900CE,ABB 12DEC24 7900 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1134987,SO,CE,8000,ABB INDIA LIMITED,ABB24DEC8000CE,ABB 12DEC24 8000 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1130636,SO,CE,8100,ABB INDIA LIMITED,ABB24DEC8100CE,ABB 12DEC24 8100 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1129039,SO,CE,8200,ABB INDIA LIMITED,ABB24DEC8200CE,ABB 12DEC24 8200 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1131033,SO,CE,8300,ABB INDIA LIMITED,ABB24DEC8300CE,ABB 12DEC24 8300 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1129503,SO,CE,8400,ABB INDIA LIMITED,ABB24DEC8400CE,ABB 12DEC24 8400 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1136848,SO,CE,8500,ABB INDIA LIMITED,ABB24DEC8500CE,ABB 12DEC24 8500 CE,2024-12-12,125,0.05,
BFO,bse_fo,ABB,1137550,SO,CE,8600,ABB INDIA LIMITED,ABB24DEC8600CE,ABB 12DEC24 8600 CE,2024-12-12,125,0.05,
